DATE,MODE,LOCATION,CUSTOMER,PRODUCT CODE,SOURCE,RAILCAR,FLEET,SUBFLEET,RAILCAR SEALS,BOL,TERMINAL / DESTINATION,CITY,STATE,"WEIGHT
(kg)","TEMPERATURE
(C)","DENSITY
(kg/m3 @ 15C)",S&W %,"S&W
(BBL @ 15C)","NET OIL
(BBL @ 15C)","TOTAL VOL
(BBL @ 15C)","S&W
(m3 @ 15C)","NET OIL
(m3 @ 15C)","TOTAL VOL
(m3 @ 15C)",BOL DATE,"HEEL VOLUME
(m3 @ 15C)","HEEL WEIGHT
(kg)"
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280776,CLOVER,POSTLANE,"0235562, 0235561, 0235602, 0235601",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,871",60.30,993.82,0.73,4.1522,564.6373,568.7895,0.6601,89.7702,90.4303,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280894,CLOVER,POSTLANE,"0235568, 0235567, 0235608, 0235607",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,151",62.20,996.05,0.73,4.1558,565.1256,569.2814,0.6607,89.8478,90.5085,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280955,CLOVER,POSTLANE,"0235570, 0235569, 0235610, 0235609",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,015",62.90,992.33,0.73,4.1651,566.3906,570.5557,0.6622,90.0489,90.7111,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281636,CLOVER,POSTLANE,"0235564, 0235563, 0235604, 0235603",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,387",61.90,992.68,0.73,4.1346,562.2428,566.3774,0.6573,89.3895,90.0468,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281824,CLOVER,POSTLANE,"0235566, 0235565, 0235607, 0235605",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,419",63.80,996.84,0.73,4.1188,560.0949,564.2137,0.6548,89.0480,89.7028,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280830,CLOVER,POSTLANE,"0235818, 0235817, 0235798, 0235797",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,972",68.50,993.95,0.27,1.5373,567.8170,569.3543,0.2444,90.2757,90.5201,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280893,CLOVER,POSTLANE,"0235812, 0235811, 0235792, 0235791",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,939",68.30,996.68,0.27,1.5325,566.0500,567.5825,0.2436,89.9948,90.2384,09-Jan-20,0.0400,37.85
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280907,CLOVER,POSTLANE,"0235806, 0235805, 0235786, 0235785",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,951",68.40,998.49,0.27,1.5299,565.1009,566.6308,0.2432,89.8439,90.0871,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281063,CLOVER,POSTLANE,"0235840, 0235839, 0235850, 0235849",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,846",71.60,994.27,0.50,2.8418,565.5275,568.3693,0.4518,89.9117,90.3635,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281220,CLOVER,POSTLANE,"0235802, 0235801, 0235782, 0235781",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,392",66.80,994.54,0.27,1.5264,563.8194,565.3458,0.2427,89.6401,89.8828,09-Jan-20,0.1300,128.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281262,CLOVER,POSTLANE,"0235832, 0235831, 0235842, 0235841",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,409",72.00,995.01,0.50,2.8259,562.3601,565.1860,0.4493,89.4081,89.8574,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281352,CLOVER,POSTLANE,"0235804, 0235803, 0235784, 0235783",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,292",68.30,995.37,0.27,1.5234,562.7160,564.2394,0.2422,89.4647,89.7069,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281390,CLOVER,POSTLANE,"0235828, 0235827, 0235662, 0235670",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,956",65.30,997.97,0.61,3.4580,563.5005,566.9585,0.5499,89.5893,90.1392,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281434,CLOVER,POSTLANE,"0235838, 0235837, 0235848, 0235847",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,350",72.10,991.82,0.50,2.8331,563.7933,566.6264,0.4504,89.6360,90.0864,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281453,CLOVER,POSTLANE,"0235816, 0235815, 0235796, 0235795",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,430",68.00,998.31,0.27,1.5213,561.9294,563.4507,0.2419,89.3396,89.5815,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281473,CLOVER,POSTLANE,"0235834, 0235833, 0235844, 0235843",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,173",72.30,997.98,0.50,2.8101,559.2046,562.0147,0.4468,88.9064,89.3532,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281551,CLOVER,POSTLANE,"0235822, 0235821, 0235668, 0235667",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,963",53.05,993.32,0.61,3.4743,566.1769,569.6512,0.5524,90.0149,90.5673,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281689,CLOVER,POSTLANE,"0235824, 0235823, 0235666, 0235665",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,840",63.75,993.92,0.61,3.4680,565.0685,568.5365,0.5514,89.8387,90.3901,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281693,CLOVER,POSTLANE,"0235826, 0235825, 0235664, 0235663",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,896",65.90,997.75,0.61,3.4568,563.2482,566.7050,0.5496,89.5493,90.0989,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281791,CLOVER,POSTLANE,"0235830, 0235829, 0235702, 0235701",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,436",71.80,992.40,0.50,2.8342,564.0079,566.8421,0.4506,89.6701,90.1207,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281798,CLOVER,POSTLANE,"0235836, 0235835, 0235846, 0235845",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,707",72.00,996.30,0.50,2.8317,563.5004,566.3321,0.4502,89.5894,90.0396,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281820,CLOVER,POSTLANE,"0235810, 0235809, 0235790, 0235789",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,536",68.40,994.88,0.27,1.5284,564.5351,566.0635,0.2430,89.7539,89.9969,09-Jan-20,0.0300,26.50
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281857,CLOVER,POSTLANE,"0235814, 0235813, 0235794, 0235793",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,436",68.50,999.67,0.27,1.5193,561.1998,562.7191,0.2416,89.2236,89.4652,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281880,CLOVER,POSTLANE,"0235808, 0235807, 0235788, 0235787",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,473",68.30,998.55,0.27,1.5217,562.0686,563.5903,0.2419,89.3618,89.6037,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281916,CLOVER,POSTLANE,"0235820, 0235819, 0235800, 0235799",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,503",67.60,996.69,0.27,1.5250,563.3037,564.8287,0.2425,89.5581,89.8006,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280705,CLOVER,POSTLANE,"0235746, 0235745, 0235886, 0235885",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,761",69.50,999.31,0.60,3.3898,561.5786,564.9684,0.5389,89.2839,89.8228,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280858,CLOVER,POSTLANE,"0235738, 0235737, 0235708, 0235707",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,292",69.10,998.58,0.60,3.4124,565.3130,568.7254,0.5425,89.8776,90.4201,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281014,CLOVER,POSTLANE,"0235736, 0235735, 0235706, 0235705",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,723",69.30,"1,000.24",0.60,3.3852,560.8196,564.2048,0.5382,89.1632,89.7014,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281074,CLOVER,POSTLANE,"0235740, 0235739, 0235710, 0235709",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,041",69.00,993.18,0.60,3.4214,566.8047,570.2261,0.5440,90.1147,90.6587,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281100,CLOVER,POSTLANE,"0235748, 0235747, 0235888, 0235887",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,774",68.90,997.68,0.60,3.3959,562.5802,565.9761,0.5399,89.4431,89.9830,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281554,CLOVER,POSTLANE,"0235750, 0235749, 0235890, 0235889",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,578",69.00,993.79,0.60,3.4017,563.5474,566.9491,0.5408,89.5969,90.1377,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281556,CLOVER,POSTLANE,"0235734, 0235733, 0235572, 0235571",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,392",68.90,997.02,0.60,3.3836,560.5551,563.9387,0.5380,89.1211,89.6591,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281649,CLOVER,POSTLANE,"0235744, 0235743, 0235884, 0235883",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,315",69.30,993.90,0.60,3.3913,561.8287,565.2200,0.5392,89.3236,89.8628,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281875,CLOVER,POSTLANE,"0235742, 0235741, 0235882, 0235881",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,410",67.50,995.01,0.60,3.3911,561.7987,565.1898,0.5391,89.3189,89.8580,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280787,CLOVER,POSTLANE,"0235284, 0235283, 0235322, 0235321",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,998",71.60,998.51,0.34,1.9275,564.9882,566.9157,0.3065,89.8259,90.1324,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280815,CLOVER,POSTLANE,"0235274, 0235273, 0235304, 0235303",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,078",71.50,992.17,0.34,1.9416,569.1028,571.0444,0.3087,90.4801,90.7888,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280842,CLOVER,POSTLANE,"0235376, 0235375, 0235366, 0235365",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,974",66.40,997.00,0.21,1.1920,566.4301,567.6221,0.1895,90.0552,90.2447,09-Jan-20,0.0600,56.78
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX280843,CLOVER,POSTLANE,"0235380, 0235379, 0235370, 0235369",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,002",65.90,995.83,0.21,1.1938,567.2730,568.4668,0.1898,90.1892,90.3790,09-Jan-20,0.1300,128.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281013,CLOVER,POSTLANE,"0235278, 0235277, 0235306, 0235305",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,877",71.50,997.06,0.34,1.9277,565.0465,566.9742,0.3065,89.8352,90.1417,09-Jan-20,0.1000,102.21
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281024,CLOVER,POSTLANE,"0235428, 0235427, 0235360, 0235359",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,029",68.80,990.36,0.40,2.2871,569.4875,571.7746,0.3636,90.5413,90.9049,09-Jan-20,0.0800,75.71
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281076,CLOVER,POSTLANE,"0235372, 0235371, 0235362, 0235361",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"89,858",65.50,995.05,0.21,1.1928,566.8060,567.9988,0.1896,90.1150,90.3046,09-Jan-20,0.1600,162.77
D Jan YY,TANK to RAIL,JEFFERSON REFINERY LLC,CLOVER,Crude Oil - 4910191, CLOVER CM STORAGE,VMSX281097,CLOVER,POSTLANE,"0235424, 0235423, 0235354, 0235353",AL06CL010000006,DEST: JEFFERSON REFINERY LLC,Korf,TX,"90,120",69.00,990.08,0.40,2.2901,570.2261,572.5162,0.3641,90.6587,91.0228,09-Jan-20,0.0400,37.85
